No,Channel,US Node,DS Node,US Channel,DS Channel,Flags,Length,Form Loss,n or Cd,pSlope,US Invert,DS Invert,LBUS Obvert,RBUS Obvert,LBDS Obvert,RBDS Obvert,pBlockage
    27,"Pit12","Pit12.1","Pit12","------","------","Q",             0.0,   0.000,   0.012,   0.0,    42.811,    42.811,    42.960,    42.960,    42.960,    42.960,     0.000
    28,"Pit13","Pit13.1","Pit13","------","------","Q",             0.0,   0.000,   0.012,   0.0,    42.837,    42.837,    42.985,    42.985,    42.985,    42.985,     0.000
    29,"Pit14","Pit14.1","Pit14","------","------","Q",             0.0,   0.000,   0.012,   0.0,    42.860,    42.860,    43.008,    43.008,    43.008,    43.008,     0.000
    30,"Pit15","Pit15.1","Pit15","------","------","Q",             0.0,   0.000,   0.012,   0.0,    42.989,    42.989,    43.138,    43.138,    43.138,    43.138,     0.000
    31,"Pit16","Pit16.1","Pit16","------","------","Q",             0.0,   0.000,   0.012,   0.0,    43.136,    43.136,    43.284,    43.284,    43.284,    43.284,     0.000
     5,"Pit18","Pit18.1","Pit18.2","------","------","Q(VPI)",             0.0,   0.000,   0.012,   0.0,    43.322,    43.322,    43.470,    43.470,    43.470,    43.470,     0.000
     6,"Pit19","Pit19.1","Pit19.2","------","------","Q(VPI)",             0.0,   0.000,   0.012,   0.0,    43.340,    43.340,    43.488,    43.488,    43.488,    43.488,     0.000
     1,"Pit2","Pit2.1","Pit2.2","------","------","Q(VPI)",             0.0,   0.000,   0.012,   0.0,    43.244,    43.244,    43.393,    43.393,    43.393,    43.393,     0.000
     9,"Pit3","Pit3.1","Pit3.2","------","------","Q(VPI)",             0.0,   0.000,   0.012,   0.0,    43.216,    43.216,    43.365,    43.365,    43.365,    43.365,     0.000
     2,"Pit4","Pit4.1","Pit4.2","------","------","Q(VPI)",             0.0,   0.000,   0.012,   0.0,    43.308,    43.308,    43.456,    43.456,    43.456,    43.456,     0.000
     3,"Pit5","Pit5.1","Pit5.2","------","------","Q(VPI)",             0.0,   0.000,   0.012,   0.0,    43.277,    43.277,    43.425,    43.425,    43.425,    43.425,     0.000
     4,"Pit6","Pit6.1","Pit6.2","------","------","Q(VPI)",             0.0,   0.000,   0.012,   0.0,    43.253,    43.253,    43.401,    43.401,    43.401,    43.401,     0.000
    22,"Pit7","Pit7.1","Pit7","------","------","Q",             0.0,   0.000,   0.012,   0.0,    43.147,    43.147,    43.295,    43.295,    43.295,    43.295,     0.000
    23,"Pit8","Pit8.1","Pit8","------","------","Q",             0.0,   0.000,   0.012,   0.0,    43.005,    43.005,    43.153,    43.153,    43.153,    43.153,     0.000
    24,"Pit9","Pit9.1","Pit9","------","------","Q",             0.0,   0.000,   0.012,   0.0,    42.864,    42.864,    43.013,    43.013,    43.013,    43.013,     0.000
