"M09_5m_05p_2hr_001","Location","Flow","Water Level","Velocity"
,        0.533333,          0.0000,         39.0108,          0.0000
,        0.550000,          0.0000,         39.0108,          0.0000
,        0.566667,          0.0000,         39.0108,          0.0000
,        0.583333,          0.0000,         39.0108,          0.0000
,        0.600000,          0.0000,         39.0108,          0.0000
,        0.616667,          0.0000,         39.0108,          0.0000
,        0.633333,          0.0000,         39.0108,          0.0000
,        0.650000,          0.0000,         39.0108,          0.0000
,        0.666667,          0.0000,         39.0108,          0.0000
,        0.683333,          0.0000,         39.0108,          0.0000
,        0.700000,         -0.0000,         39.0166,          0.1228
,        0.716667,         -0.0682,         39.1173,          0.1678
,        0.733333,         -0.0935,         39.1470,          0.1551
,        0.750000,          0.6479,         39.2081,          0.2792
,        0.766667,         19.3698,         40.5916,          1.3758
,        0.783333,         29.7100,         41.2366,          1.1155
,        0.800000,         36.8074,         41.5553,          0.9877
,        0.816667,         42.6204,         41.7484,          0.9354
,        0.833333,         47.5275,         41.8726,          0.9108
,        0.850000,         51.3285,         41.9538,          0.9011
,        0.866667,         53.7799,         42.0138,          0.8776
,        0.883333,         55.2438,         42.0657,          0.8514
,        0.900000,         55.5068,         42.1197,          0.7984
,        0.916667,         54.4900,         42.1822,          0.7206
,        0.933333,         52.9077,         42.2555,          0.6374
,        0.950000,         51.5184,         42.3338,          0.5666
,        0.966667,         50.8171,         42.4125,          0.5131
,        0.983333,         50.1039,         42.4877,          0.4684
,        1.000000,         49.0684,         42.5606,          0.4265
,        1.016667,         48.1381,         42.6307,          0.3914
,        1.033333,         47.2407,         42.6973,          0.3623
,        1.050000,         46.2376,         42.7595,          0.3368
,        1.066667,         45.3364,         42.8155,          0.3155
,        1.083333,         45.0215,         42.8639,          0.3009
,        1.100000,         46.0917,         42.9056,          0.2974
,        1.116667,         46.7160,         42.9380,          0.2942
,        1.133333,         46.4230,         42.9639,          0.2855
,        1.150000,         48.3870,         42.9882,          0.2918
,        1.166667,         54.0153,         43.0106,          0.3249
,        1.183333,         54.3754,         43.0235,          0.3287
,        1.200000,         53.4965,         43.0370,          0.3207
,        1.216667,         53.3794,         43.0454,          0.3171
,        1.233333,         53.4606,         43.0512,          0.3159
,        1.250000,         53.1672,         43.0557,          0.3141
,        1.266667,         52.8515,         43.0578,          0.3122
,        1.283333,         52.0245,         43.0588,          0.3080
,        1.300000,         51.4581,         43.0593,          0.3051
,        1.316667,         50.5687,         43.0578,          0.3010
,        1.333333,         49.2217,         43.0560,          0.2945
,        1.350000,         48.2856,         43.0535,          0.2901
,        1.366667,         47.0199,         43.0503,          0.2840
,        1.383333,         45.8856,         43.0468,          0.2789
,        1.400000,         44.5388,         43.0427,          0.2728
,        1.416667,         43.2805,         43.0385,          0.2668
,        1.433333,         41.8982,         43.0338,          0.2604
,        1.450000,         40.6492,         43.0291,          0.2547
,        1.466667,         39.3515,         43.0243,          0.2486
,        1.483333,         38.0741,         43.0192,          0.2426
,        1.500000,         36.7599,         43.0142,          0.2363
,        1.516667,         35.4899,         43.0090,          0.2302
,        1.533333,         34.2159,         43.0037,          0.2240
,        1.550000,         32.9096,         42.9985,          0.2176
,        1.566667,         31.6879,         42.9932,          0.2114
,        1.583333,         30.4963,         42.9878,          0.2054
,        1.600000,         29.2768,         42.9824,          0.1991
,        1.616667,         28.2160,         42.9772,          0.1937
,        1.633333,         27.1015,         42.9718,          0.1879
,        1.650000,         26.0029,         42.9666,          0.1821
,        1.666667,         24.9447,         42.9615,          0.1766
,        1.683333,         24.2498,         42.9570,          0.1729
,        1.700000,         23.3918,         42.9520,          0.1683
,        1.716667,         22.5858,         42.9475,          0.1640
,        1.733333,         21.7966,         42.9432,          0.1596
,        1.750000,         21.1645,         42.9390,          0.1560
,        1.766667,         20.4803,         42.9348,          0.1521
,        1.783333,         19.8169,         42.9309,          0.1483
,        1.800000,         19.1457,         42.9270,          0.1443
,        1.816667,         18.4937,         42.9232,          0.1405
,        1.833333,         17.9242,         42.9194,          0.1370
,        1.850000,         17.3776,         42.9159,          0.1337
,        1.866667,         16.9133,         42.9124,          0.1309
,        1.883333,         16.4336,         42.9091,          0.1280
,        1.900000,         16.0421,         42.9059,          0.1256
,        1.916667,         15.6260,         42.9029,          0.1231
,        1.933333,         15.3248,         42.9001,          0.1212
,        1.950000,         15.0287,         42.8974,          0.1194
,        1.966667,         14.7488,         42.8949,          0.1176
,        1.983333,         14.4379,         42.8925,          0.1157
,        2.000000,         14.1635,         42.8903,          0.1139
,        2.016667,         13.8934,         42.8881,          0.1122
,        2.033333,         13.6742,         42.8860,          0.1107
,        2.050000,         13.4542,         42.8840,          0.1092
,        2.066667,         13.2405,         42.8821,          0.1078
,        2.083333,         13.0344,         42.8803,          0.1065
,        2.100000,         12.7866,         42.8785,          0.1048
,        2.116667,         12.5387,         42.8767,          0.1031
,        2.133333,         12.2972,         42.8750,          0.1014
,        2.150000,         12.0727,         42.8733,          0.0998
,        2.166667,         11.7408,         42.8713,          0.0974
,        2.183333,         11.3944,         42.8695,          0.0950
,        2.200000,         11.1430,         42.8676,          0.0931
,        2.216667,         10.8716,         42.8657,          0.0911
,        2.233333,         10.6152,         42.8638,          0.0891
,        2.250000,         10.3484,         42.8618,          0.0872
,        2.266667,         10.1600,         42.8599,          0.0856
,        2.283333,          9.8510,         42.8581,          0.0834
,        2.300000,          9.6407,         42.8561,          0.0817
,        2.316667,          9.3746,         42.8543,          0.0797
,        2.333333,          9.2544,         42.8525,          0.0786
,        2.350000,          9.0668,         42.8508,          0.0772
,        2.366667,          8.8779,         42.8490,          0.0757
,        2.383333,          8.6428,         42.8474,          0.0739
,        2.400000,          8.4667,         42.8457,          0.0725
,        2.416667,          8.3232,         42.8441,          0.0713
,        2.433333,          8.1291,         42.8425,          0.0698
,        2.450000,          7.9768,         42.8410,          0.0686
,        2.466667,          7.7898,         42.8394,          0.0672
,        2.483333,          7.6727,         42.8379,          0.0662
,        2.500000,          7.5161,         42.8365,          0.0650
,        2.516667,          7.3963,         42.8350,          0.0640
,        2.533333,          7.2335,         42.8336,          0.0627
,        2.550000,          7.0931,         42.8322,          0.0616
,        2.566667,          6.9501,         42.8308,          0.0605
,        2.583333,          6.7890,         42.8295,          0.0592
,        2.600000,          6.6740,         42.8281,          0.0582
,        2.616667,          6.4955,         42.8268,          0.0569
,        2.633333,          6.3718,         42.8254,          0.0558
,        2.650000,          6.1876,         42.8240,          0.0545
,        2.666667,          6.0705,         42.8226,          0.0535
,        2.683333,          5.9191,         42.8213,          0.0523
,        2.700000,          5.8457,         42.8199,          0.0516
,        2.716667,          5.6803,         42.8186,          0.0503
,        2.733333,          5.5479,         42.8173,          0.0492
,        2.750000,          5.3811,         42.8159,          0.0479
,        2.766667,          5.2721,         42.8146,          0.0470
,        2.783333,          5.1557,         42.8132,          0.0461
,        2.800000,          5.0465,         42.8118,          0.0451
,        2.816667,          4.9008,         42.8105,          0.0440
,        2.833333,          4.7419,         42.8091,          0.0428
,        2.850000,          4.6409,         42.8077,          0.0419
,        2.866667,          4.5396,         42.8063,          0.0411
,        2.883333,          4.3782,         42.8049,          0.0398
,        2.900000,          4.1969,         42.8034,          0.0384
,        2.916667,          4.0066,         42.8019,          0.0369
,        2.933333,          3.8605,         42.8003,          0.0357
,        2.950000,          3.7215,         42.7987,          0.0346
,        2.966667,          3.6648,         42.7972,          0.0340
,        2.983333,          3.5069,         42.7955,          0.0328
,        3.000000,          3.3267,         42.7939,          0.0314

