"M05_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_05\Complete_Model\TUFLOW\runs\M05_5m_001.tcf]","Time(h)","V Pipe0 [M05_5m_001]","V Pipe1 [M05_5m_001]","V Pipe10 [M05_5m_001]","V Pipe11 [M05_5m_001]","V Pipe12 [M05_5m_001]","V Pipe13 [M05_5m_001]","V Pipe14 [M05_5m_001]","V Pipe15 [M05_5m_001]","V Pipe16 [M05_5m_001]","V Pipe17 [M05_5m_001]","V Pipe19 [M05_5m_001]","V Pipe2 [M05_5m_001]","V Pipe3 [M05_5m_001]","V Pipe4 [M05_5m_001]","V Pipe5 [M05_5m_001]","V Pipe6 [M05_5m_001]","V Pipe7 [M05_5m_001]","V Pipe8 [M05_5m_001]","V Pipe9 [M05_5m_001]","V Pit1 [M05_5m_001]","V Pit10 [M05_5m_001]","V Pit11 [M05_5m_001]","V Pit12 [M05_5m_001]","V Pit13 [M05_5m_001]","V Pit14 [M05_5m_001]","V Pit15 [M05_5m_001]","V Pit16 [M05_5m_001]","V Pit17 [M05_5m_001]","V Pit18 [M05_5m_001]","V Pit19 [M05_5m_001]","V Pit2 [M05_5m_001]","V Pit3 [M05_5m_001]","V Pit4 [M05_5m_001]","V Pit5 [M05_5m_001]","V Pit6 [M05_5m_001]","V Pit7 [M05_5m_001]","V Pit8 [M05_5m_001]","V Pit9 [M05_5m_001]"
      11,          0.166667,    0.790,    0.732,    1.237,    0.995,    1.245,    1.114,    1.263,    1.141,    1.368,    1.273,    1.115,    0.642,    0.641,    0.206,    1.125,    0.984,    0.904,    1.001,    1.225,    0.931,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.725,    0.741,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
      12,          0.183333,    0.800,    0.532,    1.293,    1.028,    0.931,    1.190,    1.339,    1.203,    1.454,    1.347,    1.160,    0.657,    0.657,    0.220,    1.175,    1.024,    0.924,    0.867,    1.135,    0.900,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.712,    0.730,    0.953,    0.959,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
      13,          0.200000,    0.816,    0.532,    1.060,    1.044,    0.959,    1.201,    1.240,    1.257,    1.521,    1.397,    1.198,    0.586,    0.672,    0.239,    1.219,    1.073,    0.942,    0.866,    1.164,    0.861,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.699,    0.721,    0.907,    0.913,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
      14,          0.216667,    0.836,    0.552,    0.969,    1.081,    1.024,    1.205,    1.283,    1.307,    1.578,    1.444,    1.235,    0.399,    0.685,    0.248,    1.260,    1.119,    0.959,    0.821,    0.992,    0.822,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.690,    0.713,    0.868,    0.877,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
      15,          0.233333,    0.632,    0.569,    1.048,    1.162,    1.103,    1.228,    1.335,    1.344,    1.628,    1.494,    1.272,    0.059,    0.698,    0.260,    1.301,    1.159,    0.306,    0.757,    0.986,    0.792,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.920,    0.686,    0.705,    0.838,    0.850,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
      16,          0.250000,    0.632,    0.590,    1.177,    1.280,    1.226,    1.345,    1.417,    1.373,    1.671,    1.558,    1.309,    0.101,    0.710,    0.271,    1.049,    1.186,    0.387,    0.842,    1.116,    0.767,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.867,    0.683,    0.698,    0.815,    0.828,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
      17,          0.266667,    0.403,    0.594,    1.287,    1.407,    1.345,    1.477,    1.547,    1.399,    1.717,    1.642,    1.216,    0.114,    0.717,    0.273,    1.058,    1.208,    0.406,    0.895,    1.208,    0.756,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.837,    0.681,    0.694,    0.807,    0.822,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
      18,          0.283333,    0.399,    0.594,    1.354,    1.488,    1.420,    1.564,    1.637,    1.419,    1.752,    1.712,    1.067,    0.121,    0.720,    0.278,    1.070,    1.227,    0.418,    0.926,    1.260,    0.750,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.828,    0.680,    0.692,    0.803,    0.830,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
      19,          0.300000,    0.393,    0.590,    1.403,    1.545,    1.474,    1.623,    1.698,    1.430,    1.773,    1.775,    1.050,    0.126,    0.723,    0.277,    1.079,    1.238,    0.426,    0.945,    1.292,    0.747,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.819,    0.680,    0.691,    0.798,    0.836,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
      20,          0.316667,    0.386,    0.585,    1.440,    1.591,    1.517,    1.671,    1.748,    1.439,    1.788,    1.826,    1.037,    0.130,    0.726,    0.275,    1.090,    1.246,    0.432,    0.960,    1.317,    0.744,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.811,    0.679,    0.689,    0.794,    0.836,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
      21,          0.333333,    0.377,    0.576,    1.467,    1.631,    1.555,    1.713,    1.791,    1.448,    1.802,    1.871,    1.024,    0.133,    0.729,    0.270,    1.102,    1.254,    0.438,    0.973,    1.338,    0.741,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.804,    0.679,    0.688,    0.789,    0.830,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
      22,          0.350000,    0.365,    0.564,    1.475,    1.657,    1.578,    1.742,    1.822,    1.457,    1.813,    1.904,    1.014,    0.140,    0.732,    0.263,    1.113,    1.261,    0.446,    0.950,    1.335,    0.738,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.798,    0.604,    0.683,    0.785,    0.822,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
      23,          0.366667,    0.349,    0.547,    1.466,    1.661,    1.579,    1.749,    1.832,    1.463,    1.819,    1.915,    1.011,    0.143,    0.735,    0.255,    1.124,    1.267,    0.432,    0.918,    1.321,    0.736,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.778,    0.552,    0.629,    0.781,    0.815,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
      24,          0.383333,    0.331,    0.546,    1.462,    1.663,    1.580,    1.752,    1.836,    1.480,    1.828,    1.921,    1.032,    0.147,    0.738,    0.259,    1.148,    1.284,    0.420,    0.888,    1.310,    0.733,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.759,    0.502,    0.572,    0.777,    0.808,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
      25,          0.400000,    0.329,    0.553,    1.459,    1.665,    1.580,    1.755,    1.841,    1.502,    1.839,    1.928,    1.055,    0.151,    0.741,    0.265,    1.174,    1.308,    0.403,    0.850,    1.296,    0.731,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.744,    0.450,    0.515,    0.774,    0.802,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972
      26,          0.416667,    0.318,    0.580,    1.451,    1.673,    1.575,    1.764,    1.850,    1.523,    1.851,    1.939,    1.081,    0.155,    0.509,    0.261,    1.202,    1.330,    0.383,    0.802,    1.273,    0.728,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.734,    0.397,    0.458,    0.770,    0.797,    0.972,    0.972,    0.972,    0.945,    0.972,    0.972
      27,          0.433333,    0.329,    0.595,    1.439,    1.681,    1.572,    1.774,    1.863,    1.545,    1.863,    1.954,    1.111,    0.149,    0.122,    0.271,    1.235,    1.369,    0.362,    0.754,    1.242,    0.726,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.724,    0.349,    0.404,    0.767,    0.792,    0.972,    0.972,    0.738,    0.886,    0.972,    0.972
      28,          0.450000,    0.339,    0.608,    1.425,    1.689,    1.570,    1.784,    1.875,    1.565,    1.875,    1.969,    1.136,    0.137,    0.129,    0.279,    1.262,    1.401,    0.349,    0.728,    1.201,    0.724,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.634,    0.318,    0.367,    0.763,    0.788,    0.972,    0.972,    0.440,    0.827,    0.972,    0.972
      29,          0.466667,    0.345,    0.617,    1.407,    1.698,    1.572,    1.794,    1.886,    1.591,    1.890,    1.980,    1.156,    0.128,    0.130,    0.287,    1.284,    1.428,    0.339,    0.708,    1.149,    0.721,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.527,    0.295,    0.339,    0.760,    0.784,    0.972,    0.972,    0.317,    0.749,    0.972,    0.972
      30,          0.483333,    0.350,    0.625,    1.363,    1.703,    1.564,    1.801,    1.894,    1.618,    1.913,    1.991,    1.179,    0.122,    0.128,    0.300,    1.309,    1.457,    0.336,    0.700,    1.127,    0.719,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.475,    0.282,    0.322,    0.758,    0.780,    0.972,    0.972,    0.267,    0.516,    0.872,    0.972
      31,          0.500000,    0.356,    0.634,    1.283,    1.662,    1.492,    1.765,    1.859,    1.640,    1.630,    1.957,    1.203,    0.110,    0.156,    0.312,    1.336,    1.487,    0.329,    0.687,    1.086,    0.717,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.424,    0.269,    0.305,    0.755,    0.776,    0.972,    0.970,    0.216,    0.315,    0.492,    0.972
      32,          0.516667,    0.365,    0.647,    1.241,    1.671,    1.441,    1.779,    1.875,    1.666,    1.658,    1.977,    1.229,    0.106,    0.162,    0.320,    1.364,    1.519,    0.327,    0.680,    1.068,    0.714,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.390,    0.259,    0.293,    0.750,    0.770,    0.972,    0.935,    0.191,    0.246,    0.284,    0.810
      33,          0.533333,    0.376,    0.662,    1.187,    1.669,    1.320,    1.812,    1.908,    1.701,    1.696,    2.014,    1.263,    0.101,    0.172,    0.334,    1.402,    1.562,    0.324,    0.675,    1.049,    0.709,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.360,    0.249,    0.280,    0.747,    0.763,    0.966,    0.902,    0.167,    0.175,    0.142,    0.718
      34,          0.550000,    0.386,    0.675,    1.156,    1.525,    1.236,    1.865,    1.962,    1.753,    1.748,    2.072,    1.311,    0.098,    0.199,    0.367,    1.454,    1.618,    0.323,    0.671,    1.037,    0.704,    0.720,    0.972,    0.972,    0.972,    0.972,    0.972,    0.972,    0.335,    0.241,    0.270,    0.744,    0.756,    0.947,    0.872,    0.152,    0.139,    0.074,    0.382
      35,          0.566667,    0.398,    0.694,    1.122,    1.279,    1.139,    1.863,    2.060,    1.824,    1.825,    2.171,    1.362,    0.097,    0.212,    0.389,    1.511,    1.681,    0.322,    0.668,    1.026,    0.700,    0.675,    0.859,    0.972,    0.972,    0.972,    0.970,    0.972,    0.314,    0.233,    0.261,    0.741,    0.750,    0.927,    0.845,    0.141,    0.105,    0.014,    0.138
      36,          0.583333,    0.408,    0.708,    1.100,    1.086,    1.070,    1.771,    2.146,    1.868,    1.890,    2.266,    1.397,    0.099,    0.223,    0.406,    1.549,    1.721,    0.320,    0.664,    1.018,    0.697,    0.556,    0.708,    0.972,    0.972,    0.972,    0.958,    0.972,    0.301,    0.228,    0.255,    0.739,    0.747,    0.913,    0.824,    0.137,    0.085,   -0.022,    0.014
      37,          0.600000,    0.412,    0.718,    1.091,    1.015,    1.042,    1.644,    2.186,    1.887,    1.929,    2.334,    1.419,    0.103,    0.230,    0.417,    1.570,    1.740,    0.320,    0.661,    1.016,    0.696,    0.429,    0.678,    0.972,    0.972,    0.972,    0.968,    0.972,    0.303,    0.229,    0.258,    0.737,    0.749,    0.907,    0.815,    0.143,    0.080,   -0.036,   -0.019
      38,          0.616667,    0.419,    0.729,    1.088,    0.954,    1.022,    1.516,    2.167,    1.889,    1.971,    2.426,    1.432,    0.103,    0.231,    0.420,    1.579,    1.744,    0.320,    0.660,    1.016,    0.694,    0.356,    0.672,    0.772,    0.972,    0.972,    0.972,    0.972,    0.311,    0.232,    0.263,    0.735,    0.750,    0.902,    0.814,    0.147,    0.078,   -0.049,   -0.048
      39,          0.633333,    0.428,    0.743,    1.087,    0.916,    1.009,    1.438,    2.151,    1.897,    1.999,    2.479,    1.449,    0.101,    0.231,    0.422,    1.595,    1.754,    0.321,    0.662,    1.017,    0.691,    0.317,    0.669,    0.728,    0.972,    0.972,    0.972,    0.972,    0.316,    0.234,    0.265,    0.733,    0.749,    0.897,    0.815,    0.148,    0.077,   -0.058,   -0.064
      40,          0.650000,    0.437,    0.757,    1.087,    0.896,    1.001,    1.394,    2.137,    1.905,    2.021,    2.504,    1.467,    0.100,    0.231,    0.424,    1.615,    1.767,    0.322,    0.663,    1.018,    0.689,    0.297,    0.667,    0.713,    0.972,    0.972,    0.972,    0.972,    0.317,    0.234,    0.265,    0.731,    0.748,    0.891,    0.814,    0.147,    0.077,   -0.063,   -0.072
      41,          0.666667,    0.447,    0.771,    1.087,    0.883,    0.997,    1.365,    2.124,    1.922,    2.040,    2.517,    1.488,    0.099,    0.233,    0.428,    1.636,    1.785,    0.323,    0.665,    1.018,    0.687,    0.283,    0.667,    0.703,    0.972,    0.972,    0.972,    0.972,    0.315,    0.233,    0.264,    0.729,    0.746,    0.884,    0.811,    0.145,    0.076,   -0.067,   -0.077
      42,          0.683333,    0.457,    0.786,    1.087,    0.873,    0.994,    1.341,    2.112,    1.946,    2.060,    2.523,    1.511,    0.098,    0.236,    0.434,    1.661,    1.809,    0.324,    0.666,    1.019,    0.686,    0.272,    0.667,    0.697,    0.972,    0.972,    0.972,    0.972,    0.312,    0.232,    0.262,    0.727,    0.744,    0.875,    0.805,    0.142,    0.075,   -0.068,   -0.081
      43,          0.700000,    0.468,    0.800,    1.086,    0.864,    0.991,    1.320,    2.103,    1.974,    2.078,    2.526,    1.536,    0.098,    0.240,    0.441,    1.688,    1.838,    0.324,    0.668,    1.019,    0.685,    0.262,    0.667,    0.693,    0.958,    0.972,    0.972,    0.972,    0.307,    0.230,    0.259,    0.725,    0.742,    0.867,    0.798,    0.139,    0.073,   -0.069,   -0.084
      44,          0.716667,    0.478,    0.815,    1.086,    0.856,    0.988,    1.298,    2.094,    2.007,    2.097,    2.528,    1.563,    0.097,    0.245,    0.449,    1.717,    1.868,    0.325,    0.668,    1.019,    0.684,    0.251,    0.667,    0.690,    0.928,    0.972,    0.972,    0.972,    0.302,    0.228,    0.256,    0.723,    0.740,    0.858,    0.791,    0.137,    0.072,   -0.070,   -0.086
      45,          0.733333,    0.448,    0.794,    1.085,    0.847,    0.984,    1.276,    2.087,    2.034,    2.114,    2.532,    1.571,    0.097,    0.255,    0.468,    1.732,    1.888,    0.325,    0.669,    1.019,    0.587,    0.240,    0.667,    0.688,    0.908,    0.972,    0.972,    0.972,    0.297,    0.226,    0.254,    0.722,    0.737,    0.850,    0.783,    0.134,    0.070,   -0.071,   -0.088
      46,          0.750000,    0.433,    0.783,    1.083,    0.837,    0.980,    1.253,    2.081,    2.047,    2.127,    2.540,    1.572,    0.098,    0.260,    0.477,    1.736,    1.894,    0.325,    0.670,    1.018,    0.454,    0.229,    0.667,    0.686,    0.882,    0.972,    0.972,    0.972,    0.291,    0.224,    0.251,    0.720,    0.735,    0.841,    0.776,    0.132,    0.068,   -0.072,   -0.089
      47,          0.766667,    0.441,    0.787,    1.082,    0.828,    0.975,    1.232,    2.078,    2.052,    2.136,    2.550,    1.574,    0.099,    0.261,    0.476,    1.737,    1.893,    0.324,    0.668,    1.017,    0.394,    0.218,    0.667,    0.685,    0.872,    0.972,    0.972,    0.972,    0.289,    0.223,    0.250,    0.721,    0.737,    0.848,    0.776,    0.132,    0.067,   -0.074,   -0.090
      48,          0.783333,    0.460,    0.799,    1.079,    0.820,    0.970,    1.214,    2.076,    2.051,    2.142,    2.560,    1.573,    0.100,    0.258,    0.469,    1.733,    1.887,    0.322,    0.665,    1.015,    0.388,    0.210,    0.667,    0.684,    0.865,    0.972,    0.972,    0.972,    0.291,    0.224,    0.252,    0.725,    0.740,    0.859,    0.781,    0.135,    0.066,   -0.075,   -0.091
      49,          0.800000,    0.484,    0.815,    1.076,    0.813,    0.964,    1.200,    2.075,    2.046,    2.145,    2.570,    1.570,    0.101,    0.251,    0.457,    1.726,    1.877,    0.321,    0.662,    1.014,    0.412,    0.204,    0.667,    0.683,    0.858,    0.972,    0.972,    0.972,    0.297,    0.227,    0.256,    0.728,    0.744,    0.874,    0.790,    0.139,    0.066,   -0.077,   -0.091
      50,          0.816667,    0.509,    0.833,    1.075,    0.807,    0.960,    1.191,    2.074,    2.036,    2.145,    2.577,    1.565,    0.101,    0.242,    0.441,    1.717,    1.865,    0.320,    0.660,    1.013,    0.472,    0.201,    0.668,    0.682,    0.854,    0.972,    0.972,    0.972,    0.306,    0.230,    0.260,    0.732,    0.749,    0.891,    0.804,    0.143,    0.066,   -0.080,   -0.091
      51,          0.833333,    0.531,    0.846,    1.074,    0.806,    0.958,    1.192,    2.075,    2.020,    2.140,    2.581,    1.556,    0.101,    0.232,    0.425,    1.704,    1.849,    0.319,    0.658,    1.012,    0.647,    0.203,    0.668,    0.682,    0.854,    0.972,    0.972,    0.972,    0.316,    0.234,    0.266,    0.736,    0.755,    0.912,    0.821,    0.149,    0.068,   -0.082,   -0.091
      52,          0.850000,    0.434,    0.755,    1.074,    0.812,    0.958,    1.210,    2.086,    1.957,    2.115,    2.589,    1.480,    0.101,    0.230,    0.432,    1.635,    1.785,    0.318,    0.656,    1.012,    0.694,    0.211,    0.667,    0.682,    0.864,    0.972,    0.972,    0.972,    0.328,    0.239,    0.273,    0.741,    0.764,    0.937,    0.844,    0.155,    0.070,   -0.083,   -0.090
      53,          0.866667,    0.398,    0.707,    1.075,    0.826,    0.962,    1.247,    2.106,    1.852,    2.069,    2.599,    1.396,    0.101,    0.216,    0.408,    1.543,    1.688,    0.318,    0.654,    1.012,    0.706,    0.228,    0.667,    0.683,    0.885,    0.972,    0.972,    0.972,    0.341,    0.244,    0.280,    0.746,    0.773,    0.966,    0.870,    0.162,    0.073,   -0.083,   -0.086
      54,          0.883333,    0.376,    0.674,    1.077,    0.843,    0.969,    1.291,    2.126,    1.758,    2.024,    2.602,    1.328,    0.101,    0.203,    0.384,    1.468,    1.605,    0.317,    0.653,    1.012,    0.714,    0.249,    0.667,    0.685,    0.913,    0.972,    0.972,    0.972,    0.357,    0.249,    0.288,    0.752,    0.783,    0.972,    0.902,    0.170,    0.077,   -0.082,   -0.082
      55,          0.900000,    0.356,    0.642,    1.079,    0.862,    0.976,    1.341,    2.145,    1.674,    1.977,    2.598,    1.268,    0.102,    0.197,    0.367,    1.401,    1.532,    0.316,    0.651,    1.012,    0.721,    0.275,    0.667,    0.688,    0.972,    0.972,    0.972,    0.972,    0.374,    0.255,    0.298,    0.761,    0.795,    0.972,    0.940,    0.180,    0.083,   -0.080,   -0.078
      56,          0.916667,    0.335,    0.608,    1.081,    0.884,    0.986,    1.396,    2.162,    1.607,    1.934,    2.588,    1.236,    0.102,    0.220,    0.379,    1.360,    1.484,    0.315,    0.649,    1.013,    0.729,    0.306,    0.667,    0.694,    0.972,    0.972,    0.972,    0.972,    0.394,    0.262,    0.308,    0.772,    0.807,    0.972,    0.972,    0.193,    0.089,   -0.077,   -0.073
      57,          0.933333,    0.316,    0.581,    1.084,    0.907,    0.996,    1.453,    2.179,    1.542,    1.891,    2.574,    1.199,    0.104,    0.226,    0.379,    1.318,    1.437,    0.315,    0.647,    1.013,    0.738,    0.343,    0.668,    0.704,    0.972,    0.972,    0.972,    0.972,    0.416,    0.270,    0.320,    0.784,    0.822,    0.972,    0.972,    0.208,    0.096,   -0.074,   -0.068
      58,          0.950000,    0.300,    0.553,    1.087,    0.932,    1.008,    1.519,    2.198,    1.547,    1.839,    2.556,    1.142,    0.105,    0.215,    0.359,    1.253,    1.365,    0.314,    0.645,    1.014,    0.747,    0.389,    0.670,    0.719,    0.972,    0.972,    0.972,    0.972,    0.443,    0.278,    0.333,    0.799,    0.838,    0.972,    0.972,    0.227,    0.104,   -0.069,   -0.061
      59,          0.966667,    0.298,    0.548,    1.084,    0.886,    0.998,    1.535,    2.253,    1.506,    1.799,    2.565,    1.077,    0.106,    0.762,    0.308,    1.182,    1.288,    0.313,    0.643,    1.013,    0.762,    0.373,    0.668,    0.735,    0.972,    0.972,    0.972,    0.972,    0.473,    0.288,    0.348,    0.815,    0.857,    0.972,    0.972,    0.248,    0.107,   -0.077,   -0.089
      60,          0.983333,    0.294,    0.532,    1.041,    0.755,    0.848,    1.216,    2.279,    1.317,    1.870,    2.764,    1.042,    0.102,    0.726,    0.298,    1.138,    1.271,    0.309,    0.635,    0.998,    0.783,    0.245,    0.671,    0.681,    0.972,    0.972,    0.972,    0.972,    0.498,    0.296,    0.363,    0.834,    0.878,    0.972,    0.972,    0.261,    0.066,   -0.147,   -0.047
      61,          1.000000,    0.262,    0.432,    0.978,    0.627,    0.666,    0.984,    2.009,    1.278,    2.085,    2.959,    0.830,    0.098,    0.711,    0.213,    0.906,    0.978,    0.304,    0.623,    0.976,    0.807,    0.190,    0.541,    0.673,    0.683,    0.732,    0.972,    0.972,    0.519,    0.303,    0.377,    0.857,    0.903,    0.972,    0.972,    0.270,    0.004,   -0.198,   -0.018
      62,          1.016667,    0.170,    0.353,    0.881,    0.554,    0.540,    0.842,    1.618,    1.434,    2.421,    2.955,    0.570,    0.092,   -0.049,    0.054,    0.627,    0.684,    0.299,    0.611,    0.947,    0.819,    0.154,    0.410,    0.710,    0.670,    0.667,    0.972,    0.972,    0.526,    0.306,    0.386,    0.867,    0.908,    0.972,    0.972,    0.264,   -0.085,   -0.176,    0.010
