"M01_2.5m_001 [Q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_01\Complete_Model\TUFLOW\runs\M01_2.5m_001.tcf]","Time (h)","H Loc1_P [M01_2.5m_001]"
          66,        1.083333,         43.1784
          67,        1.100000,         43.1835
          68,        1.116667,         43.1874
          69,        1.133333,         43.1896
          70,        1.150000,         43.1906
          71,        1.166667,         43.1905
          72,        1.183333,         43.1894
          73,        1.200000,         43.1875
          74,        1.216667,         43.1849
          75,        1.233333,         43.1817
          76,        1.250000,         43.1779
          77,        1.266667,         43.1737
          78,        1.283333,         43.1690
          79,        1.300000,         43.1640
          80,        1.316667,         43.1585
          81,        1.333333,         43.1526
          82,        1.350000,         43.1463
          83,        1.366667,         43.1396
          84,        1.383333,         43.1325
          85,        1.400000,         43.1252
          86,        1.416667,         43.1178
          87,        1.433333,         43.1102
          88,        1.450000,         43.1025
          89,        1.466667,         43.0946
          90,        1.483333,         43.0868
          91,        1.500000,         43.0788
          92,        1.516667,         43.0709
          93,        1.533333,         43.0629
          94,        1.550000,         43.0549
          95,        1.566667,         43.0470
          96,        1.583333,         43.0391
          97,        1.600000,         43.0312
          98,        1.616667,         43.0234
          99,        1.633333,         43.0157
         100,        1.650000,         43.0081
         101,        1.666667,         43.0009
         102,        1.683333,         42.9938
         103,        1.700000,         42.9873
         104,        1.716667,         42.9810
         105,        1.733333,         42.9751
         106,        1.750000,         42.9694
         107,        1.766667,         42.9640
         108,        1.783333,         42.9585
         109,        1.800000,         42.9532
         110,        1.816667,         42.9479
         111,        1.833333,         42.9427
         112,        1.850000,         42.9378
         113,        1.866667,         42.9330
         114,        1.883333,         42.9286
         115,        1.900000,         42.9244
         116,        1.916667,         42.9204
         117,        1.933333,         42.9168
         118,        1.950000,         42.9133
         119,        1.966667,         42.9102
         120,        1.983333,         42.9070
         121,        2.000000,         42.9042
         122,        2.016667,         42.9014
         123,        2.033333,         42.8988
         124,        2.050000,         42.8964
         125,        2.066667,         42.8940
         126,        2.083333,         42.8917
         127,        2.100000,         42.8895
         128,        2.116667,         42.8872
         129,        2.133333,         42.8850
         130,        2.150000,         42.8827
         131,        2.166667,         42.8804
         132,        2.183333,         42.8780
         133,        2.200000,         42.8756
         134,        2.216667,         42.8731
         135,        2.233333,         42.8706
         136,        2.250000,         42.8679
         137,        2.266667,         42.8653
         138,        2.283333,         42.8627
         139,        2.300000,         42.8602
         140,        2.316667,         42.8577
         141,        2.333333,         42.8553
         142,        2.350000,         42.8530
         143,        2.366667,         42.8508
         144,        2.383333,         42.8486
         145,        2.400000,         42.8465
         146,        2.416667,         42.8444
         147,        2.433333,         42.8424
         148,        2.450000,         42.8406
         149,        2.466667,         42.8386
         150,        2.483333,         42.8368
         151,        2.500000,         42.8350
         152,        2.516667,         42.8332
         153,        2.533333,         42.8314
         154,        2.550000,         42.8296
         155,        2.566667,         42.8279
         156,        2.583333,         42.8261
         157,        2.600000,         42.8242
         158,        2.616667,         42.8224
         159,        2.633333,         42.8205
         160,        2.650000,         42.8186
         161,        2.666667,         42.8167
         162,        2.683333,         42.8147
         163,        2.700000,         42.8129
         164,        2.716667,         42.8109
         165,        2.733333,         42.8092
         166,        2.750000,         42.8074
         167,        2.766667,         42.8055
         168,        2.783333,         42.8037
         169,        2.800000,         42.8020
         170,        2.816667,         42.8001
         171,        2.833333,         42.7982
         172,        2.850000,         42.7963
         173,        2.866667,         42.7944
         174,        2.883333,         42.7922
         175,        2.900000,         42.7902
         176,        2.916667,         42.7881
         177,        2.933333,         42.7859
         178,        2.950000,         42.7838
         179,        2.966667,         42.7817
         180,        2.983333,         42.7794
         181,        3.000000,         42.7772

